Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL0737,10/03/2011,9º ano,Carlos Prates,18/8/2024 22:45:00,07/10/2024,Rematrícula,"100,00%",2.354
CL0740,19/10/2014,5º ano bilíngue,Carajás,18/08/2024 22:44:00,02/12/2024,Rematrícula,"100,00%",32.408
CL0745,28/06/2010,1ª série,Conceição do Mato Dentro,18/08/2024 22:47:00,03/12/2024,Rematrícula,"50,00%",20.942
CL0746,12/11/2019,Infantil 5 bilíngue,Mais Pampulha,18/8/2024 22:45:00,26/09/2024,Rematrícula,"60,00%",21.289
CL0748,,9º ano,,18/08/2024 22:47:00,,Rematrícula,,
CL0750,27/12/2015,4º ano bilíngue,Mais Buritis,18/08/2024 22:47:00,28/09/2024,Rematrícula,"100,00%",896.0
CL0752,22/01/2014,6º ano,Alípio de Melo,18/08/2024 22:47:00,13/12/2024,Rematrícula,"45,60%",15.853
CL0756,17/9/2012,7º ano bilíngue,Carajás,18/08/2024 22:44:00,03/01/2025,Rematrícula,"100,00%",38.376
CL0761,7/9/2018,1º ano,Carlos Prates,18/08/2024 22:46:00,07/10/2024,Rematrícula,"64,00%",9.342
CL0764,12/9/2011,8º ano,Mais Pampulha,18/8/2024 22:45:00,22/11/2024,Rematrícula,"44,30%",24.669
CL0765,16/07/2013,6º ano bilíngue,Carajás,18/8/2024 22:45:00,03/12/2024,Rematrícula,"100,00%",38.376
CL0774,26/10/2010,9º ano,Nova Suíça,18/08/2024 22:45:00,10/10/2024,Rematrícula,"60,00%",12.964
CL0779,20/4/2010,1ª série,Jaraguá,18/8/2024 22:45:00,09/10/2024,Rematrícula,"55,00%",15.468
CL0780,15/04/2016,3º ano bilíngue,Mais Belvedere,18/08/2024 22:45:00,20/12/2024,Rematrícula,"50,80%",27.084
CL0783,2/7/2009,9º ano,Lagoa Santa,18/8/2024 22:45:00,05/10/2024,Rematrícula,"80,00%",7.576
